"WordCount","SentimentGI","NegativityGI","PositivityGI","SentimentHE","NegativityHE","PositivityHE","SentimentLM","NegativityLM","PositivityLM","RatioUncertaintyLM","SentimentQDAP","NegativityQDAP","PositivityQDAP","LCpos","LCneg","LC","Vader"
20,0.2,0.05,0.25,0,0,0,0,0,0,0,0.25,0,0.25,2,0,0.1,0.837
18,0,0.222222222222222,0.222222222222222,0,0,0,-0.111111111111111,0.111111111111111,0,0,-0.111111111111111,0.222222222222222,0.111111111111111,1,5,-0.222222222222222,0.086
13,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,2,0,0.153846153846154,0.796
32,0.09375,0.125,0.21875,-0.03125,0.03125,0,0.09375,0.03125,0.125,0.09375,0.21875,0,0.21875,5,0,0.15625,0.681
31,0.161290322580645,0.032258064516129,0.193548387096774,0.0967741935483871,0,0.0967741935483871,0.0967741935483871,0,0.0967741935483871,0.032258064516129,0.290322580645161,0,0.290322580645161,6,1,0.161290322580645,0.617
13,-0.0769230769230769,0.230769230769231,0.153846153846154,0.0769230769230769,0,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,0,-0.0769230769230769,0.153846153846154,0.0769230769230769,1,3,-0.153846153846154,-0.273
8,0,0.125,0.125,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.45
11,0.545454545454545,0,0.545454545454545,0,0,0,0,0,0,0,0.545454545454545,0,0.545454545454545,2,0,0.181818181818182,0.758
12,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,2,0,0.166666666666667,0.734
16,-0.125,0.25,0.125,0.0625,0,0.0625,-0.0625,0.0625,0,0,0,0.0625,0.0625,0,1,-0.0625,-0.402
3,0.333333333333333,0.333333333333333,0.666666666666667,0,0,0,-1,1,0,0,0.666666666666667,0,0.666666666666667,1,0,0.333333333333333,-0.296
13,0.153846153846154,0,0.153846153846154,0,0,0,0,0,0,0,0,0,0,1,0,0.0769230769230769,0.382
1,-1,1,0,0,0,0,-1,1,0,0,-1,1,0,0,1,-1,-0.477
20,0.1,0.05,0.15,0.05,0,0.05,-0.05,0.05,0,0,0.1,0.05,0.15,1,1,0,0.622
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.25,0.25,0,0,0,0,-0.125,0.125,0,0,-0.125,0.125,0,0,0,0,0
15,-0.133333333333333,0.266666666666667,0.133333333333333,0,0,0,0,0,0,0.0666666666666667,0,0.0666666666666667,0.0666666666666667,0,2,-0.133333333333333,0.153
55,0.109090909090909,0.127272727272727,0.236363636363636,0,0,0,0.0181818181818182,0.0545454545454545,0.0727272727272727,0,0.0545454545454545,0.127272727272727,0.181818181818182,10,5,0.0909090909090909,0.759
9,0,0.222222222222222,0.222222222222222,0,0,0,-0.222222222222222,0.222222222222222,0,0,-0.111111111111111,0.222222222222222,0.111111111111111,1,4,-0.333333333333333,-0.596
52,0.153846153846154,0.0961538461538462,0.25,0,0,0,0,0.0192307692307692,0.0192307692307692,0,0.192307692307692,0.0769230769230769,0.269230769230769,6,3,0.0576923076923077,0.696
